state,org,report,url,status,provenance,frequency,units,latest_known,verified,in_dataset
US,USDA Forest Service,"Cut-and-Sold reports (National Forest timber sales, all 9 regions)",https://www.fs.usda.gov/forestmanagement/products/cut-sold/,live,independent,Quarterly,$/MBF (derived value ÷ volume),,2026-06-25,usfs_cutsold
US,USDA Forest Service PNW Research Station,"Production, Prices, Employment & Trade in NW Forest Industries (1958–2023)",https://research.fs.usda.gov/pnw/products/dataandtools/tools/production-prices-employment-and-trade-northwest-forest-industries-all,live,independent,Annual,$/MBF Scribner,,2026-06-25,pnw
US,USDA Forest Service Southern Research Station,Timber Price Information and Contacts (Forest Economics & Policy),https://research.fs.usda.gov/srs/centers/fep,stale,independent,,,,2026-08-30,
US,ResourceWise (Forest2Market),Stumpage 360 / TimberMart-South commercial services,https://www.resourcewise.com/timber-prices/stumpage-prices,paywalled,commercial,,,,2026-06-25,
TX,Texas A&M Forest Service,Timber Price Trends,https://tfsweb.tamu.edu/forest-land/forest-industry-economics/timber-price-trends/,live,independent,Bimonthly,$/ton and $/MBF Doyle,Nov–Dec 2025,2026-06-25,
GA,Georgia Department of Revenue,Owner Harvest Timber Values,https://dor.georgia.gov/local-government-services/digest-compliance/owner-harvest-timber-values,live,independent,Annual,$/ton (weighted average of actual sale filings),2026,2026-06-25,
AR,University of Arkansas Cooperative Extension,Timber Price Report,https://www.uaex.uada.edu/environment-nature/forestry/timber-price-report.aspx,live,tms,Quarterly,$/ton,,2026-06-25,
NC,NC State Extension Forestry,Forestry Price Data,https://forestry.ces.ncsu.edu/forestry-price-data/,live,tms,Quarterly,$/ton,,2026-06-25,
MS,Mississippi State University Extension,Timber Prices,https://extension.msstate.edu/natural-resources/forestry/forest-economics/timber-prices,live,tms,Quarterly,$/ton,,2026-06-25,
SC,South Carolina Forestry Commission,Current Timber Price Report,https://www.scfc.gov/,live,tms,Quarterly,$/ton,,2026-06-25,
VA,Virginia Tech — Forest Landowner Education,Historic Virginia Timber Stumpage Prices,https://forestupdate.frec.vt.edu/resources/historic-virginia-timber-stumpage-prices.html,live,tms,Quarterly,$/ton,,2026-08-30,
AL,Alabama Forestry Commission / Auburn ACES,(no native price series — TMS-based commentary only),https://forestry.alabama.gov/,live,tms,,,,2026-06-25,
FL,UF/IFAS Florida Land Steward,Timber Price Update (narrative),https://programs.ifas.ufl.edu/florida-land-steward/,live,tms,Irregular,,,2026-06-25,
TN,Tennessee Division of Forestry,Forest Products Bulletin,https://www.tn.gov/agriculture/businesses/business-development/forest-products/tfpb.html,dead,independent,,,2017 (archive),2026-08-30,
LA,"Louisiana Dept. of Agriculture & Forestry, Office of Forestry",Quarterly Report of Forest Products,https://www.ldaf.la.gov/land/forestry/forestry-reports,live,independent,Quarterly,"$/ton and $/MBF, by five reporting areas",Q1 2026,2026-08-30,
LA,LSU AgCenter,Louisiana Stumpage Report / Timber Tales newsletter,https://www.lsuagcenter.com/articles/page1685631054382,live,tms,Quarterly,$/ton,Timber Tales Vol. 26 No. 1 (2026),2026-08-30,
OK,Oklahoma State University Extension,Oklahoma Timber Price Report,https://extension.okstate.edu/topics/environment-and-natural-resources/forestry,live,independent,Annual,$/ton,2025 report (2026 outlook),2026-08-30,
MI,Michigan DNR (Forest Management),State Forest Stumpage Price Reports,https://www2.dnr.state.mi.us/ftp/forestry/tsreports/StumpagePriceReports/,live,independent,Quarterly,"$/MBF (Scribner & International ¼″, varies by unit) + $/cord",Q1 2026,2026-06-25,mi_dnr
MO,Missouri Department of Conservation,Timber Price Trends,https://research.mdc.mo.gov/,live,independent,Quarterly (rolling 12-month),$/MBF Doyle and International ¼″,Oct–Dec 2025,2026-06-25,
KY,Kentucky Division of Forestry,Delivered Log Price Report,https://eec.ky.gov/Natural-Resources/Forestry/resource-utilization-and-marketing/,live,independent,Semi-annual,"$/MBF (DELIVERED, not stumpage)",Jan 2026 (H2 2025),2026-06-25,
OH,OSU Extension + Ohio Division of Forestry,Ohio Timber Price Report,https://woodlandstewards.osu.edu/ohio-timber-price-report,live,independent,Semi-annual,$/MBF Doyle (stumpage + delivered),Jan 2026,2026-06-25,
IL,Illinois DNR / Illinois Dept. of Agriculture,Illinois Timber Prices,https://dnr.illinois.gov/conservation/forestry/illinois-timber-prices.html,live,independent,Semi-annual,$/MBF Doyle (stumpage + FOB-mill),Spring–Summer 2025,2026-06-25,
MN,Minnesota DNR,Public Stumpage Price Review & Price Index,https://www.dnr.state.mn.us/forestry/timbersales/stumpage.html,stale,independent,Annual,$/cord and $/MBF,2021,2026-08-30,
IN,Indiana DNR Division of Forestry,Indiana Forest Products Price Report and Trend Analysis,https://secure.in.gov/dnr/forestry/forestry-publications-and-presentations/,stale,independent,Semi-annual (nominal),$/MBF Doyle,Spring 2020,2026-08-30,
WI,Wisconsin DNR,FCL/MFL Stumpage Rates,https://dnr.wisconsin.gov/,live,tax,Annual,$/cord and $/MBF,RY2026,2026-06-25,
MI,Forest Data Network,FDN Prime (WI/MI/MN stumpage database),https://forestdatanetwork.com/,paywalled,commercial,,,,2026-06-25,
IN,Indiana Woodland Steward,Indiana Consulting Foresters Stumpage Timber Price Report,https://www.inwoodlands.org/forest-inventory-programs/,live,independent,Annual,,2025,2026-08-30,
